Car URL,Encoded City,Ignition Type,Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Ownership History,Car Manufacturer,Car Model,Car Model Year,Car Variant,Car Price,Mileage (km/l),Engine Capacity (L),Max Power (hp),Torque (Nm),Seats Capacity,Wheel Size (inches),Year of Registration,Fuel Type (Overview),Seats (Overview),Kilometers Driven (Overview),RTO Location,Ownership Type,Engine Displacement (L),Transmission (Overview),Year of Manufacture,Log of Car Price,Log of Overview Kilometers Driven,Log of Engine Capacity,Log of Max Power,Engine Capacity Binned,Wheel Size Binned,Engine and Torque Interaction,Car Age (years),Encoded Variant Name,Trending Text Length,Has Power Steering,Mileage Binned
817,3,0,4,3,103211,1,2,2,9,89,2012,1333,289000.0,20.36,1197,78.9,111.7,5,13.0,2016.0,4,5,103211,351,3,1197,1,2012,12.574185427296195,11.54454040433948,7.088408778675395,4.380775852772229,3,1,133704.9,7.0,77,151,1,0
2280,3,0,4,3,113543,1,2,2,20,184,2012,1823,290000.0,18.9,998,67.1,90.0,5,14.0,2016.0,4,5,113543,8,3,998,1,2012,12.577639650232573,11.639945705979093,6.906754778648554,4.220977213155467,2,1,89820.0,7.0,69,151,1,2
5408,3,0,1,8,120000,1,2,2,17,138,2010,1538,425000.0,12.05,2179,120.0,290.0,7,16.0,2010.0,1,7,120000,19,3,2179,1,2010,12.959846800844963,11.695255355062795,7.687080155783135,4.795790545596741,1,0,631910.0,13.0,1,151,1,2
1922,3,0,1,9,99334,1,1,1,20,180,2012,1767,407000.0,19.3,1248,73.9,190.0,5,14.0,2016.0,1,5,99334,12,1,1248,1,2012,12.91657092142417,11.506253255202164,7.130098510125578,4.316153890523174,3,1,237120.0,7.0,33,151,1,2
3411,3,0,1,9,156126,1,1,1,6,52,2014,311,300000.0,25.01,1498,89.75,204.0,5,15.0,2016.0,1,5,156126,345,1,1498,1,2014,12.611541086966115,11.958425057594027,7.312553498102598,4.5081084731449605,3,1,305592.0,7.0,5,151,1,0
4049,3,0,1,8,68000,0,2,2,9,73,2017,368,1195000.0,17.01,1582,126.2,259.9,5,17.0,2016.0,1,5,68000,346,3,1582,0,2017,13.993657580167481,11.127277689932466,7.367077059881012,4.845760650906022,3,0,411161.8,7.0,18,151,1,2
3500,3,0,4,9,100000,1,2,2,8,59,2014,1062,390000.0,18.0,1198,86.7,109.0,5,0.0,2014.0,4,5,100000,344,3,1198,1,2014,12.873904582205107,11.51293546492023,7.089243155027514,4.473921899378137,3,2,130582.0,9.0,4,151,1,2
4705,3,0,4,3,54000,1,1,1,9,82,2008,1135,225000.0,18.9,1086,62.0,96.1,5,13.0,2016.0,4,5,54000,23,1,1086,1,2008,12.323860125621126,10.896757843893464,6.99117688712121,4.143134726391533,3,1,104364.59999999999,7.0,10,151,1,2
6299,3,0,1,9,110000,1,2,2,20,181,2019,194,650000.0,19.95,1248,74.02,190.0,5,0.0,2019.0,1,5,110000,343,3,1248,1,2019,13.384729180332174,11.608244735642321,7.130098510125578,4.317754744653741,3,2,237120.0,4.0,3,151,1,2
3241,3,0,4,9,110000,1,2,2,5,43,2010,1045,250000.0,16.0,1368,89.0,115.0,5,15.0,2010.0,4,5,110000,409,3,1368,1,2010,12.429220196836383,11.608244735642321,7.221835825288449,4.499809670330265,3,1,157320.0,13.0,1,151,1,2
4816,3,0,4,9,76000,1,1,1,9,86,2011,250,475000.0,17.43,1396,105.5,135.3,5,15.0,2016.0,4,5,76000,22,1,1396,1,2011,13.07107218827772,11.23850177707664,7.242082359256962,4.66814498514948,3,1,188878.80000000002,7.0,3,151,1,2
7209,3,0,1,9,60000,1,2,2,24,228,2020,1908,700000.0,22.71,1461,84.8,200.0,5,0.0,2020.0,1,5,60000,346,3,1461,1,2020,13.45883704259595,11.002116507732017,7.2875606403097235,4.4520190064939165,3,2,292200.0,3.0,1,151,1,0
1517,3,0,4,3,71974,1,1,1,20,157,2017,85,559000.0,21.4,1197,83.1,115.0,5,0.0,2016.0,4,5,71974,345,1,1197,1,2017,13.233906541044401,11.184074115480376,7.088408778675395,4.432006566978902,3,2,137655.0,7.0,61,151,1,0
2205,3,0,1,8,105562,1,1,1,20,183,2016,2022,789000.0,24.3,1248,88.5,200.0,5,16.0,2016.0,1,5,105562,344,1,1248,1,2016,13.578522867254332,11.56706321006943,7.130098510125578,4.4942386252808095,3,0,249600.0,7.0,28,151,1,0
5533,3,0,1,8,110000,1,2,2,17,147,2015,1863,950000.0,16.0,2179,140.0,330.0,7,17.0,2015.0,1,7,110000,339,3,2179,1,2015,13.76421831620775,11.608244735642321,7.687080155783135,4.948759890378168,1,0,719070.0,8.0,10,151,1,2
1609,3,0,4,8,1330,1,1,1,20,159,2023,2083,1297000.0,19.89,1462,101.65,136.8,5,16.0,2016.0,4,5,1330,345,1,1462,1,2023,14.075565234308307,7.193685818395112,7.288244401020124,4.6313251434649425,3,0,200001.6,7.0,3,151,1,2
151,3,0,4,9,30973,1,2,2,8,59,2021,1495,750000.0,18.6,1199,88.5,110.0,5,0.0,2016.0,4,5,30973,345,3,1199,1,2021,13.527829818844937,10.340903421876119,7.090076835776092,4.4942386252808095,3,2,131890.0,7.0,13,151,1,2
4473,3,0,4,3,100000,0,2,2,9,89,2011,1647,330000.0,16.95,1197,78.9,111.8,5,13.0,2011.0,4,5,100000,8,3,1197,0,2011,12.706850963741102,11.51293546492023,7.088408778675395,4.380775852772229,3,1,133824.6,12.0,9,151,1,2
875,3,0,4,3,9351,1,1,1,9,90,2018,151,691000.0,18.6,1197,81.83,114.7,5,0.0,2016.0,4,5,9351,344,1,1197,1,2018,13.445896549926763,9.143345503151904,7.088408778675395,4.416790314610172,3,2,137295.9,7.0,7,151,1,2
7220,3,0,4,8,46000,1,1,1,24,229,2017,1911,775000.0,13.24,1598,102.5,145.0,5,0.0,2016.0,4,5,46000,347,1,1598,1,2017,13.560619598657233,10.736418414365374,7.377133712833954,4.639571612705423,3,2,231710.0,7.0,10,151,1,2
1307,3,0,4,3,56133,1,2,2,20,155,2013,1268,214000.0,22.05,796,47.33,69.0,5,0.0,2016.0,4,5,56133,8,3,796,1,2013,12.273735966890268,10.93549696853629,6.680854678790215,3.8780524858569927,2,2,54924.0,7.0,145,151,1,0
1418,3,0,4,3,92370,1,1,1,20,156,2013,1806,231999.99999999997,24.39,998,65.71,89.0,5,0.0,2016.0,4,5,92370,9,1,998,1,2013,12.354496960983985,11.43356835555382,6.906754778648554,4.200354866721424,2,2,88822.0,7.0,337,151,1,0
7886,3,0,4,9,68000,1,1,1,30,282,2012,1742,425000.0,17.6,1496,88.7,140.0,5,15.0,2016.0,4,5,68000,8,1,1496,1,2012,12.959846800844963,11.127277689932466,7.311218384419629,4.49647076906475,3,1,209440.0,7.0,11,151,0,2
1422,3,0,4,3,38313,1,1,1,20,156,2014,1806,281000.0,24.39,998,65.71,89.0,5,0.0,2016.0,4,5,38313,346,1,998,1,2014,12.546113507028412,10.553570643625047,6.906754778648554,4.200354866721424,2,2,88822.0,7.0,337,151,1,0
7812,3,0,1,9,110000,1,1,1,29,278,2019,1435,600000.0,22.95,1248,74.0,190.0,5,0.0,2019.0,1,5,110000,363,1,1248,1,2019,13.304686600863562,11.608244735642321,7.130098510125578,4.31748811353631,3,2,237120.0,4.0,4,151,1,0
6034,3,0,4,9,10000,1,1,1,20,163,2021,1009,950000.0,20.65,1462,103.25,138.0,5,15.0,2021.0,4,5,10000,345,1,1462,1,2021,13.76421831620775,9.210440366976517,7.288244401020124,4.646791860678911,3,1,201756.0,2.0,13,151,1,0
4852,3,0,4,9,80000,1,2,2,9,86,2015,407,600000.0,17.01,1591,121.3,154.9,5,16.0,2015.0,4,5,80000,409,3,1591,1,2015,13.304686600863562,11.289794413577894,7.3727463664043285,4.8064770426931265,3,0,246445.90000000002,8.0,22,151,1,2
7226,3,0,1,8,120000,1,3,3,24,229,2014,1951,500000.0,19.01,1461,108.5,248.0,5,16.0,2014.0,1,5,120000,339,4,1461,1,2014,13.122365377402328,11.695255355062795,7.2875606403097235,4.695924549256556,3,0,362328.0,9.0,3,151,1,2
8281,3,0,1,9,90000,1,2,2,31,305,2015,328,555000.0,20.34,1498,103.2,250.0,5,15.0,2015.0,1,5,90000,345,3,1498,1,2015,13.22672519452875,11.407576060361786,7.312553498102598,4.646312129319266,3,1,374500.0,8.0,19,151,1,0
8307,3,0,1,9,87000,1,2,2,31,305,2012,1372,449000.0,20.54,1598,103.5,250.0,5,15.0,2016.0,1,5,87000,8,3,1598,1,2012,13.014780393893403,11.373674891823535,7.377133712833954,4.6491870714048655,3,1,399500.0,7.0,1,151,1,0
5846,3,0,4,3,70000,1,2,2,20,157,2018,175,640000.0,21.4,1197,83.1,115.0,5,16.0,2018.0,4,5,70000,344,3,1197,1,2018,13.369225017834633,11.156264806643742,7.088408778675395,4.432006566978902,3,0,137655.0,5.0,50,151,1,0
1421,3,0,4,3,53179,1,2,2,20,156,2014,1806,263000.0,24.39,998,65.71,89.0,5,0.0,2016.0,4,5,53179,344,3,998,1,2014,12.479913113434042,10.88143766479701,6.906754778648554,4.200354866721424,2,2,88822.0,7.0,337,151,1,0
2563,3,0,4,8,48902,1,1,1,29,265,2020,132,939000.0,17.0,1198,108.5,170.0,5,16.0,2016.0,4,5,48902,345,1,1198,1,2020,13.752571823152559,10.7975940232744,7.089243155027514,4.695924549256556,3,0,203660.0,7.0,2,151,1,2
4821,3,0,1,9,90000,0,3,3,9,86,2012,370,455000.0,22.32,1582,126.3,259.9,5,15.0,2012.0,1,5,90000,409,4,1582,0,2012,13.02805489573287,11.407576060361786,7.367077059881012,4.846546505563361,3,1,411161.8,11.0,1,151,1,0
956,3,0,4,3,45025,0,1,1,9,90,2019,866,777000.0,17.4,1197,81.86,117.0,5,16.0,2016.0,4,5,45025,344,1,1197,0,2019,13.563196916350243,10.71499537968092,7.088408778675395,4.417152436649256,3,0,140049.0,7.0,5,151,1,2
1466,3,0,4,3,22356,0,1,1,20,157,2017,82,701000.0,21.4,1197,83.1,115.0,5,16.0,2016.0,4,5,22356,347,1,1197,0,2017,13.460264592549233,10.014894750110258,7.088408778675395,4.432006566978902,3,0,137655.0,7.0,23,151,1,0
4833,3,0,1,9,96000,0,1,1,9,86,2014,401,625000.0,22.32,1582,126.32,259.8,5,16.0,2016.0,1,5,96000,347,1,1582,0,2014,13.345508528717259,11.472113887062386,7.367077059881012,4.846703602413892,3,0,411003.60000000003,7.0,3,151,1,0
1713,3,0,4,3,35564,1,2,2,20,160,2019,2037,478000.0,25.24,998,65.71,89.0,5,0.0,2016.0,4,5,35564,344,3,998,1,2019,13.077368103521614,10.479117287167616,6.906754778648554,4.200354866721424,2,2,88822.0,7.0,60,151,1,0
